Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Url;Catalogue;Subject;Publisher;ISSN;Coverage;Scope;Graph
IEEE Robotics and Automation Letters;journal;2.119;Q1;104;1093;3600;34552;21816;3595;5.46;31.61;United States;https://www.scimagojr.com/journalsearch.php?q=21100900379&tip=sid&clean=0;Computer Science Applications
Cell Reports Methods;journal;2.107;Q1;15;211;229;11242;920;210;4.02;53.28;United States;https://www.scimagojr.com/journalsearch.php?q=21101065916&tip=sid&clean=0;Computer Science Applications
IEEE/ACM Transactions on Networking;journal;2.034;Q1;184;303;610;10776;2789;610;4.00;35.56;United States;https://www.scimagojr.com/journalsearch.php?q=27237&tip=sid&clean=0;Computer Science Applications
Production Planning and Control;journal;2.020;Q1;104;186;324;17600;3657;315;10.23;94.62;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18658&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Services Computing;journal;2.002;Q1;87;398;518;15144;3365;514;5.57;38.05;United States;https://www.scimagojr.com/journalsearch.php?q=18300156728&tip=sid&clean=0;Computer Science Applications
Policy and Internet;journal;1.977;Q1;43;51;99;3568;668;93;5.55;69.96;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100208044&tip=sid&clean=0;Computer Science Applications
IEEE Journal of Biomedical and Health Informatics;journal;1.964;Q1;156;683;1339;26062;11469;1316;7.61;38.16;United States;https://www.scimagojr.com/journalsearch.php?q=21100256982&tip=sid&clean=0;Computer Science Applications
Journal of Field Robotics;journal;1.949;Q1;114;128;184;6914;1785;178;6.35;54.02;United States;https://www.scimagojr.com/journalsearch.php?q=4700152301&tip=sid&clean=0;Computer Science Applications
Journal of Manufacturing Technology Management;journal;1.948;Q1;93;73;228;5414;2527;225;9.58;74.16;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18644&tip=sid&clean=0;Computer Science Applications
Scientific data;journal;1.937;Q1;120;899;1482;45502;12101;136;5.91;50.61;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100451321&tip=sid&clean=0;Computer Science Applications
Big Data Mining and Analytics;journal;1.933;Q1;38;41;74;1894;875;73;11.80;46.20;China;https://www.scimagojr.com/journalsearch.php?q=21101024053&tip=sid&clean=0;Computer Science Applications
Information Technology and Tourism;journal;1.901;Q1;39;31;73;2033;884;70;8.00;65.58;United States;https://www.scimagojr.com/journalsearch.php?q=21100304858&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Emerging Topics in Computational Intelligence;journal;1.894;Q1;41;172;241;7254;1596;232;6.14;42.17;United States;https://www.scimagojr.com/journalsearch.php?q=21100976672&tip=sid&clean=0;Computer Science Applications
IEEE Communications Letters;journal;1.887;Q1;164;707;2045;11167;8981;2045;4.11;15.79;United States;https://www.scimagojr.com/journalsearch.php?q=18896&tip=sid&clean=0;Computer Science Applications
Expert Systems with Applications;journal;1.875;Q1;271;2272;4192;128885;41492;4192;9.29;56.73;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=24201&tip=sid&clean=0;Computer Science Applications
Journal of Research on Technology in Education;journal;1.866;Q1;75;98;124;6503;1063;121;8.11;66.36;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100301445&tip=sid&clean=0;Computer Science Applications
International Journal of Systems Science;journal;1.851;Q1;83;197;682;8532;3198;679;5.60;43.31;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=12419&tip=sid&clean=0;Computer Science Applications
Journal of Computer Assisted Learning;journal;1.842;Q1;114;179;313;12758;2443;312;7.41;71.27;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=26183&tip=sid&clean=0;Computer Science Applications
Data Science and Engineering;journal;1.836;Q1;28;34;89;1470;554;83;7.23;43.24;Germany;https://www.scimagojr.com/journalsearch.php?q=21100901150&tip=sid&clean=0;Computer Science Applications
Neurocomputing;journal;1.815;Q1;196;975;4641;57031;33170;4590;6.79;58.49;Netherlands;https://www.scimagojr.com/journalsearch.php?q=24807&tip=sid&clean=0;Computer Science Applications
Data Mining and Knowledge Discovery;journal;1.813;Q1;117;93;218;5350;1455;215;4.56;57.53;Netherlands;https://www.scimagojr.com/journalsearch.php?q=13579&tip=sid&clean=0;Computer Science Applications
International Journal of Cognitive Computing in Engineering;journal;1.810;Q1;16;36;58;1641;642;57;12.39;45.58;China;https://www.scimagojr.com/journalsearch.php?q=21101101329&tip=sid&clean=0;Computer Science Applications
Archives of Computational Methods in Engineering;journal;1.801;Q1;92;207;456;28891;5544;455;11.41;139.57;Netherlands;https://www.scimagojr.com/journalsearch.php?q=18093&tip=sid&clean=0;Computer Science Applications
Journal of Educational Computing Research;journal;1.792;Q1;76;72;200;4558;1651;200;7.86;63.31;United States;https://www.scimagojr.com/journalsearch.php?q=18874&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Artificial Intelligence;journal;1.771;Q1;19;312;154;7780;1075;153;5.94;24.94;United States;https://www.scimagojr.com/journalsearch.php?q=21101093601&tip=sid&clean=0;Computer Science Applications
Nonlinear Analysis: Hybrid Systems;journal;1.760;Q1;68;112;281;4490;1320;280;4.60;40.09;Netherlands;https://www.scimagojr.com/journalsearch.php?q=9000153105&tip=sid&clean=0;Computer Science Applications
Journal of Cheminformatics;journal;1.745;Q1;83;120;254;5635;2433;248;7.21;46.96;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=19600157322&tip=sid&clean=0;Computer Science Applications
Computers and Electronics in Agriculture;journal;1.735;Q1;168;862;2056;40643;21572;2056;9.27;47.15;Netherlands;https://www.scimagojr.com/journalsearch.php?q=30441&tip=sid&clean=0;Computer Science Applications
Computers and Geotechnics;journal;1.725;Q1;131;676;1388;35872;8678;1376;5.76;53.07;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18163&tip=sid&clean=0;Computer Science Applications
Computer Standards and Interfaces;journal;1.698;Q1;76;59;135;2945;869;135;6.54;49.92;Netherlands;https://www.scimagojr.com/journalsearch.php?q=24303&tip=sid&clean=0;Computer Science Applications
Journal of Computers in Education;journal;1.696;Q1;23;70;75;4463;725;74;10.37;63.76;Germany;https://www.scimagojr.com/journalsearch.php?q=21100922758&tip=sid&clean=0;Computer Science Applications
Social Science Computer Review;journal;1.695;Q1;91;148;209;9363;1357;207;5.86;63.26;United States;https://www.scimagojr.com/journalsearch.php?q=18916&tip=sid&clean=0;Computer Science Applications
Machine Intelligence Research;journal;1.681;Q1;11;59;34;4660;237;32;6.97;78.98;China;https://www.scimagojr.com/journalsearch.php?q=21101072017&tip=sid&clean=0;Computer Science Applications
Journal of Computational Physics;journal;1.679;Q1;288;709;2121;37368;9485;2109;4.26;52.71;United States;https://www.scimagojr.com/journalsearch.php?q=13191&tip=sid&clean=0;Computer Science Applications
Current Opinion in Systems Biology;journal;1.676;Q1;34;21;140;1378;455;131;3.24;65.62;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100857212&tip=sid&clean=0;Computer Science Applications
Electronic Markets;journal;1.671;Q1;57;62;250;5847;2296;221;9.20;94.31;Germany;https://www.scimagojr.com/journalsearch.php?q=19600157911&tip=sid&clean=0;Computer Science Applications
Journal of Healthcare Informatics Research;journal;1.664;Q1;17;23;64;1417;532;63;7.68;61.61;Switzerland;https://www.scimagojr.com/journalsearch.php?q=21101017498&tip=sid&clean=0;Computer Science Applications
Internet of Things (Netherlands);journal;1.642;Q1;52;352;377;20642;3465;368;8.73;58.64;Netherlands;https://www.scimagojr.com/journalsearch.php?q=21101058910&tip=sid&clean=0;Computer Science Applications
mSystems;journal;1.642;Q1;76;286;1111;19553;6102;1102;4.68;68.37;United States;https://www.scimagojr.com/journalsearch.php?q=21100850723&tip=sid&clean=0;Computer Science Applications
Sustainable Operations and Computers;journal;1.628;Q1;18;19;59;1216;839;59;13.93;64.00;China;https://www.scimagojr.com/journalsearch.php?q=21101107945&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Information Theory;journal;1.607;Q1;292;530;1443;19214;4039;1442;2.61;36.25;United States;https://www.scimagojr.com/journalsearch.php?q=15107&tip=sid&clean=0;Computer Science Applications
Mechanism and Machine Theory;journal;1.601;Q1;130;275;1077;12748;6152;1075;5.61;46.36;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21094&tip=sid&clean=0;Computer Science Applications
Information Systems Management;journal;1.598;Q1;67;36;92;3159;692;76;6.29;87.75;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=15442&tip=sid&clean=0;Computer Science Applications
Journal of Materials Processing Technology;journal;1.579;Q1;228;347;1169;13711;8658;1167;7.68;39.51;Netherlands;https://www.scimagojr.com/journalsearch.php?q=20972&tip=sid&clean=0;Computer Science Applications
Control Engineering Practice;journal;1.576;Q1;135;285;583;11776;3464;582;6.29;41.32;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=18174&tip=sid&clean=0;Computer Science Applications
Network Neuroscience;journal;1.574;Q1;31;68;121;5650;512;119;3.27;83.09;United States;https://www.scimagojr.com/journalsearch.php?q=21100940460&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Emerging Topics in Computing;journal;1.573;Q1;61;149;448;3170;2213;425;5.09;21.28;United States;https://www.scimagojr.com/journalsearch.php?q=21100338508&tip=sid&clean=0;Computer Science Applications
Smart Learning Environments;journal;1.573;Q1;31;64;107;4006;1175;105;10.31;62.59;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21100981101&tip=sid&clean=0;Computer Science Applications
ISA Transactions;journal;1.572;Q1;109;583;1458;24318;10409;1456;6.78;41.71;United States;https://www.scimagojr.com/journalsearch.php?q=29805&tip=sid&clean=0;Computer Science Applications
Railway Engineering Science;journal;1.563;Q1;33;38;81;1469;601;78;5.68;38.66;Singapore;https://www.scimagojr.com/journalsearch.php?q=21100979265&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Biometrics, Behavior, and Identity Science;journal;1.560;Q1;24;60;134;2773;823;123;5.79;46.22;United States;https://www.scimagojr.com/journalsearch.php?q=21101070922&tip=sid&clean=0;Computer Science Applications
Journal of Learning Analytics;journal;1.496;Q1;22;28;84;1543;381;81;3.84;55.11;Australia;https://www.scimagojr.com/journalsearch.php?q=21100932472&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Learning Technologies;journal;1.493;Q1;62;93;193;5573;1038;189;4.11;59.92;United States;https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid&clean=0;Computer Science Applications
ReCALL;journal;1.493;Q1;67;32;65;1323;391;57;6.24;41.34;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=5800207673&tip=sid&clean=0;Computer Science Applications
Journal of Environmental Informatics;journal;1.491;Q1;37;24;65;1379;359;65;6.60;57.46;Canada;https://www.scimagojr.com/journalsearch.php?q=7000153205&tip=sid&clean=0;Computer Science Applications
ACM Transactions on Computing for Healthcare;journal;1.490;Q1;16;24;110;1720;719;105;7.15;71.67;United States;https://www.scimagojr.com/journalsearch.php?q=21101079108&tip=sid&clean=0;Computer Science Applications
Computational and Structural Biotechnology Journal;journal;1.485;Q1;79;517;1465;37408;7907;1450;4.96;72.36;Sweden;https://www.scimagojr.com/journalsearch.php?q=21100318415&tip=sid&clean=0;Computer Science Applications
Computers in Biology and Medicine;journal;1.481;Q1;125;1199;2288;73309;20035;2282;8.40;61.14;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=17957&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Cloud Computing;journal;1.457;Q1;66;215;503;9047;2388;498;4.72;42.08;United States;https://www.scimagojr.com/journalsearch.php?q=21100338351&tip=sid&clean=0;Computer Science Applications
Journal of Chemical Theory and Computation;journal;1.457;Q1;222;719;1874;59051;10958;1868;5.77;82.13;United States;https://www.scimagojr.com/journalsearch.php?q=5100155074&tip=sid&clean=0;Computer Science Applications
Blockchain: Research and Applications;journal;1.454;Q1;16;41;68;2341;696;66;10.54;57.10;China;https://www.scimagojr.com/journalsearch.php?q=21101101317&tip=sid&clean=0;Computer Science Applications
Artificial Intelligence in Agriculture;journal;1.453;Q1;18;27;55;1583;863;55;12.63;58.63;China;https://www.scimagojr.com/journalsearch.php?q=21101042196&tip=sid&clean=0;Computer Science Applications
IEEE Robotics and Automation Magazine;journal;1.453;Q1;104;106;188;1144;770;151;3.69;10.79;United States;https://www.scimagojr.com/journalsearch.php?q=18027&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Computational Imaging;journal;1.453;Q1;38;94;271;4935;1366;271;4.59;52.50;United States;https://www.scimagojr.com/journalsearch.php?q=21100854164&tip=sid&clean=0;Computer Science Applications
Cyberpsychology, Behavior, and Social Networking;journal;1.436;Q1;180;131;409;5103;2479;365;5.33;38.95;United States;https://www.scimagojr.com/journalsearch.php?q=19700176047&tip=sid&clean=0;Computer Science Applications
Journal of Cryptology;journal;1.433;Q1;84;41;118;2130;490;117;3.13;51.95;United States;https://www.scimagojr.com/journalsearch.php?q=23871&tip=sid&clean=0;Computer Science Applications
Data Science and Management;journal;1.432;Q1;13;24;45;1290;405;41;9.00;53.75;China;https://www.scimagojr.com/journalsearch.php?q=21101092534&tip=sid&clean=0;Computer Science Applications
Granular Computing;journal;1.415;Q1;46;106;171;5388;1275;170;8.34;50.83;Switzerland;https://www.scimagojr.com/journalsearch.php?q=21101048344&tip=sid&clean=0;Computer Science Applications
International Journal on Document Analysis and Recognition;journal;1.409;Q1;59;38;68;1791;256;65;3.26;47.13;Germany;https://www.scimagojr.com/journalsearch.php?q=130138&tip=sid&clean=0;Computer Science Applications
